Region,Dia,S,I,R
2,42,72.10,44200.26,955934.31
2,43,69.54,38979.07,960155.90
2,44,67.42,35966.86,964821.32
2,45,65.42,32344.44,967590.13
2,46,63.73,28529.46,970824.58
2,47,62.31,26319.62,974244.76
2,48,60.96,23674.13,976264.91
2,49,59.81,21802.21,978632.32
2,50,58.74,20039.48,980327.93
2,51,57.77,17668.21,981913.44
2,52,56.97,15934.51,984035.08
2,53,56.25,14054.58,985602.35
2,54,55.63,12653.38,987290.99
2,55,55.07,11410.44,988556.33
2,56,54.56,10296.98,989675.77
2,57,54.11,9294.72,990678.41
2,58,53.71,8559.50,991580.87
2,59,53.33,7702.42,992244.25
2,60,53.00,6932.51,993014.49
2,61,52.71,6114.76,993707.74
2,62,52.46,5394.15,994443.31
2,63,52.24,4855.49,995092.27
2,64,52.03,4472.62,995577.82
2,65,51.84,4034.56,995923.03
2,66,51.67,3631.23,996317.09
2,67,51.52,3202.90,996680.22
2,68,51.39,2882.93,997065.68
2,69,51.28,2654.21,997353.97
2,70,51.16,2388.76,997560.08
2,71,51.07,2106.98,997798.95
2,72,50.98,1858.52,998052.57
2,73,50.91,1672.81,998276.28
2,74,50.84,1510.80,998443.56
2,75,50.78,1332.58,998589.45
2,76,50.73,1227.76,998749.87
2,77,50.67,1105.01,998844.32
2,78,50.63,994.55,998954.82
2,79,50.59,897.45,999054.27
2,80,50.55,791.58,999141.71
2,81,50.52,729.10,999237.01
2,82,50.49,671.13,999293.30
2,83,50.46,591.96,999345.50
2,84,50.44,544.61,999416.77
2,85,50.42,500.37,999459.41
2,86,50.40,450.53,999499.26
2,87,50.38,405.81,999544.13
2,88,50.36,365.24,999584.39
2,89,50.35,322.16,999620.92
2,90,50.34,290.28,999659.71
2,91,50.32,266.86,999688.42
2,92,50.31,240.31,999709.50
2,93,50.30,216.31,999733.41
2,94,50.29,194.86,999755.02
2,95,50.29,175.60,999774.33
2,96,50.28,158.23,999791.67
2,97,50.27,145.36,999807.31
2,98,50.27,128.21,999818.91
2,99,50.26,113.09,999834.34
2,100,50.26,101.93,999847.96
2,101,50.25,91.74,999858.01
2,102,50.25,80.92,999867.18
2,103,50.25,72.83,999876.93
2,104,50.24,67.05,999884.21
2,105,50.24,60.35,999889.41
2,106,50.24,54.31,999895.45
2,107,50.24,49.93,999900.88
2,108,50.23,44.04,999904.83
2,109,50.23,40.48,999910.13
2,110,50.23,35.71,999913.33
2,111,50.23,32.14,999917.63
2,112,50.23,28.35,999920.85
2,113,50.23,26.08,999924.26
2,114,50.23,23.47,999926.31
2,115,50.23,21.12,999928.65
2,116,50.22,19.40,999930.76
2,117,50.22,17.11,999932.32
2,118,50.22,15.40,999934.38
2,119,50.22,13.86,999935.92
2,120,50.22,12.47,999937.31
3,0,999000.00,1000.00,0.00
3,1,998200.80,1733.18,100.00
3,2,996782.87,2943.82,273.31
3,3,994435.39,4996.91,567.69
3,4,990460.11,8472.51,1067.38
3,5,983746.76,14051.83,1914.63
3,6,972967.03,24187.03,3320.77
3,7,953687.64,40529.90,5736.75
3,8,922807.53,67332.64,9790.19
3,9,873160.28,112458.35,16524.60
3,10,792905.57,182630.81,27711.04
3,11,674866.80,279307.89,45825.31
3,12,524070.31,409351.18,73756.10
3,13,349935.58,545824.53,113873.88
3,14,195251.79,625141.31,166848.91
3,15,98865.14,655431.64,232327.07
3,16,47663.22,663456.25,301908.61
3,17,22077.62,614404.09,363518.29
3,18,11225.96,563815.34,424958.70
3,19,6162.46,522848.60,481340.23
3,20,3548.11,477697.36,528157.97
3,21,2171.75,435590.51,570562.46
3,22,1403.27,389545.40,609051.33
3,23,965.96,344007.61,648005.87
3,24,705.07,305822.27,687231.38
3,25,535.92,277142.27,722321.82
3,26,417.10,249546.86,750036.04
3,27,333.83,229403.57,774990.73
3,28,271.28,201441.55,794176.12
3,29,228.50,178447.90,817681.81
3,30,196.60,161602.93,838580.53
3,31,171.12,145791.12,854416.10
3,32,151.10,131182.34,868666.56
3,33,135.24,118079.96,881784.79
3,34,122.47,106461.56,893592.79
3,35,112.02,95993.66,904079.09
3,36,103.40,86386.94,913509.67
3,37,96.25,76200.28,922148.36
3,38,90.52,68692.95,931216.53
3,39,85.55,60592.05,938085.82
3,40,81.50,53512.43,945313.98
3,41,78.10,48217.33,951704.57
3,42,75.09,43398.61,956526.30
3,43,72.48,40017.29,960866.16
3,44,70.09,35263.81,963946.42
3,45,68.16,31893.04,968169.57
3,46,66.42,28814.90,971231.86
3,47,64.88,25413.37,974003.12
3,48,63.59,22989.70,977051.19
3,49,62.42,20770.27,979247.85
3,50,61.37,19118.92,981245.85
3,51,60.41,17200.64,982738.95
3,52,59.58,15516.50,984459.02
3,53,58.84,14274.29,985976.06
3,54,58.15,12864.42,987098.29
3,55,57.55,11346.77,988364.12
3,56,57.04,10010.68,989727.99
3,57,56.59,8831.67,990931.50
3,58,56.20,7985.40,991993.46
3,59,55.84,7357.20,992757.19
3,60,55.50,6641.24,993323.82
3,61,55.21,5857.74,993967.50
3,62,54.96,5167.40,994672.19
3,63,54.73,4767.80,995293.89
3,64,54.52,4307.39,995654.75
3,65,54.33,3966.70,996068.90
3,66,54.15,3498.49,996375.96
3,67,54.01,3157.11,996796.98
3,68,53.87,2850.93,997104.62
3,69,53.74,2625.40,997380.32
3,70,53.63,2315.57,997583.54
3,71,53.53,2088.66,997862.25
3,72,53.44,1884.49,998066.68
3,73,53.36,1662.19,998250.52
3,74,53.29,1466.17,998450.61
3,75,53.23,1319.66,998627.11
3,76,53.18,1187.75,998759.08
3,77,53.12,1072.65,998877.85
3,78,53.08,987.88,998981.49
3,79,53.04,889.12,999057.85
3,80,53.00,800.24,999146.76
3,81,52.96,705.85,999226.78
3,82,52.94,650.23,999311.76
3,83,52.91,598.39,999361.87
3,84,52.88,539.62,999408.55
3,85,52.86,485.68,999461.46
3,86,52.84,428.39,999510.03
3,87,52.82,386.29,999561.61
3,88,52.80,340.72,999599.52
3,89,52.79,307.20,999640.55
3,90,52.78,270.96,999670.73
3,91,52.77,244.60,999703.36
3,92,52.75,220.15,999727.10
3,93,52.75,194.18,999749.11
3,94,52.74,171.28,999772.49
3,95,52.73,154.16,999793.11
3,96,52.72,139.32,999808.53
3,97,52.72,125.83,999821.89
3,98,52.71,115.84,999834.04
3,99,52.71,102.17,999843.04
3,100,52.70,92.30,999855.34
3,101,52.70,83.37,999864.23
3,102,52.70,76.82,999872.27
3,103,52.69,67.76,999878.16
3,104,52.69,61.27,999886.32
3,105,52.69,55.14,999892.17
3,106,52.68,49.80,999897.68
3,107,52.68,45.87,999902.49
3,108,52.68,41.36,999906.04
3,109,52.68,37.23,999910.09
3,110,52.68,32.83,999913.82
3,111,52.68,30.22,999917.77
3,112,52.67,26.66,999920.12
3,113,52.67,24.55,999923.33
3,114,52.67,22.59,999925.23
3,115,52.67,19.92,999927.00
3,116,52.67,17.93,999929.40
3,117,52.67,16.14,999931.19
3,118,52.67,14.53,999932.81
3,119,52.67,12.81,999934.26
3,120,52.67,11.55,999935.80
